Norsk,Engelsk
jeg,I
det,the
er,is
du,you
ikke,not
en,one
og,and
har,hair
vi,we
på,on
til,to
med,with
han,he
deg,you
for,for
meg,me
at,that
hva,what
den,it
så,so
som,as
kan,can
de,the
var,our
vil,want
av,of
om,about
skal,shall
men,but
et,a
her,here
ja,yes
bare,just
må,must
hun,she
dere,you
noe,something
ham,him
dette,this
min,my
nei,no
nå,now
vet,know
kom,come
der,there
din,your
ut,out
hvor,where
da,then
fra,from
oss,us
være,be
dem,them
se,see
ha,have
gjør,do
noen,some
hvis,if
ville,wanted
kommer,is coming
igjen,again
ta,toe
alle,everyone
hvorfor,why
få,few
tror,believe
hvordan,how
går,goes
alt,everything
opp,up
sa,so
ingen,no
gå,go
når,when
får,sheep
hvem,whose
seg,themselves
gjøre,do
eller,or
la,let
ser,looking
blir,becomes
takk,thanks
bli,become
hadde,had
bra,Good
si,say
denne,this
henne,her
inn,in
litt,a little
etter,after
kunne,could
vel,well
jo,Yes
to,two
skulle,should have
ved,by
aldri,never
hei,Hello
tilbake,back
over,above
kanskje,maybe
ble,became
hvad,what
god,good
man,Mon
også,also
selv,self
nok,enough
sier,says
mig,me
før,for
ok,okay
dig,you
hans,his
gi,give
sammen,together
godt,well
gang,time
ned,down
trenger,need
tar,takes
mer,more
dag,day
vært,been
mitt,mine
mine,mine
gjorde,did
mye,a lot
andre,others
sett,set
helt,hero
vær,weather
siden,since
hele,all
enn,than
år,year
ditt,yours
komme,come
deres,their
mr,Mr
hold,hold
af,of
mann,man
fordi,because
fikk,got
mot,against
dine,yours
far,father
mener,mean
vent,wait
faen,the hell
ting,thing
tre,three
gjort,done
snakke,talk
mange,many
greit,okay
folk,folk
hjem,home
liker,like
sant,true
tid,time
rett,straight
dra,drag
alltid,always
sir,sir
sånn,like that
lkke,I don't
unnskyld,Pardon
morgen,morning
bedre,better
virkelig,really
elsker,love
tok,took
burde,should
vår,our
nu,now
hit,here
uten,without
veldig,very
død,death
finne,find
beklager,sorry
mor,tender
står,stands
livet,life
trodde,believed
ingenting,nothing
snakker,speaks
sin,his
akkurat,just
gikk,walked
kveld,evening
nej,no
samme,same
første,first
hør,listen
kjenner,know
ute,out
hjelpe,help
disse,these
sted,place
vite,know
gud,God
klar,clear
slik,such
noget,something
visste,knew
lenge,for a long time
forstår,understand
skjer,happens
pa,on
hjelp,help
under,under
fint,fine
eneste,only
gir,gives
holder,holder
vei,road
siste,last
bilen,the car
liv,life
hallo,hello
tro,believe
feil,error
snill,kind
heter,called
okay,okay
hver,each
veien,the road
høre,hear
verden,world
døde,died
tak,roof
én,one
prøver,samples
snart,soon
herregud,OMG
barn,children
pappa,dad
helvete,hell
holde,hold
rundt,round
hører,listen
redd,afraid
blitt,became
penger,money
husker,remember
stor,big
hos,at
drepe,kill
dit,there
venn,friend
mamma,mom
borte,gone
først,first
hennes,her
lille,little
fant,found
sikkert,certainly
heller,rather
beste,best
sikker,secure
visst,sure
tiden,the time
drar,leaves
slutt,end
bort,away
fem,five
ud,out
os,us
like,like
inne,in
annet,other
dø,die
flere,several
tatt,taken
bør,should
fått,received
ga,go
vekk,away
store,big
gjerne,happily
finner,finds
hørte,heard
fortelle,tell
skjedde,happened
våre,ours
nye,new
glad,happy
minutter,minutes
måtte,had to
neste,next
orden,order
navn,name
faren,the father
alene,alone
pengene,the money
have,garden
mannen,the man
annen,other
sagt,said
venner,friends
betyr,means
ellers,else
gamle,old
ny,new
gjennom,through
venter,waiting
derfor,therefore
menn,men
synes,seems
lei,sorry
liten,small
lenger,longer
unna,away
hatt,hat
stille,quiet
dr,dr
gør,do
fire,four
klarer,manages
langt,far
ennå,yet
skjønner,understand
gutt,boy
par,couple
slå,hit
klart,clear
føler,feel
ett,one
herfra,from here
engang,once
meget,a lot
sitt,sit
flott,great
hørt,heard
natt,night
gode,good
dagen,the day
dager,days
politiet,the police
senere,later
hjemme,at home
faktisk,actual
kjære,dear
byen,city
ti,ten
håper,hope
fort,fast
dollar,dollars
ganger,times
galt,wrong
begge,both
nesten,almost
tenkte,thought
virker,works
lige,straight
klare,manage
jobb,job
mens,while
hvilken,which
jævla,damn
snakket,talked
bak,behind
ferdig,finished
pokker,damn
be,pray
slags,kind
huset,the house
hodet,the head
vise,show
jobben,the job
fyr,Lighthouse
tenk,think
stedet,the place
prøve,try
skyld,fault
op,up
gammel,old
dør,door
grunn,superficial
drept,killed
ringer,calls
lad,charge
allerede,already
john,John
rolig,calm
dårlig,bad
kommet,arrived
kun,only
kaptein,captain
vårt,ours
gøre,do
ei,a
hende,her
jack,jack
tii,shut up
hverandre,each other
begynner,begins
jobber,works
sine,theirs
mennesker,human beings
hyggelig,nice
ønsker,wishes
helst,preferably
drepte,killed
del,share
bor,lives
fortell,tell
ligger,is located
ord,word
timer,hours
tenker,thinking
fortsatt,still
slipp,let go
egen,own
stå,stand
funnet,found
fyren,the guy
vente,wait
mi,mi
kvinne,woman
spiller,player
øyeblikk,moment
ganske,pretty
slapp,relaxed
måte,manner
seks,six
tenkt,thought
stopp,stop
nettopp,exactly
sånt,that sort of thing
møte,Meeting
velkommen,welcome
riktig,correct
kone,wife
stemmer,votes
glem,forget
mistet,lost
sig,himself
sønn,son
ses,seen
spise,eat
nede,down
jente,girl
redde,save
di,you
problem,problem
gutten,the boy
familien,the family
spør,traces
fin,fine
vanskelig,difficult
selvfølgelig,of course
ring,ring
bruke,use
legg,lay
leve,live
gått,walked
problemer,problems
kjeft,shut up
tenke,imagine
fortalte,told
spille,play
lang,long
jenta,the girl
lett,easy
oppe,upstairs
sent,late
moren,the mother
sitter,sitting
ba,asked
all,all
ringe,ring
gutter,boys
sagde,said
videre,further
ber,pray
bil,car
lever,liver
saken,the case
tilbage,back
full,full
ro,rest
nytt,new
havde,had
viktig,important
bliver,stays
åh,oh
pass,passport
hente,get
fast,solid
mat,food
new,new
setter,sets
prøv,try
uansett,regardless
mellom,between
dreper,kills
åpne,to open
treffe,hit
herr,Mr
fly,fly
fred,peace
dro,left
best,best
tur,trip
efter,after
spørsmål,questions
stort,large
prøvde,tried
fantastisk,fantastic
miss,miss
fremdeles,still
hus,House
holdt,held
utrolig,incredible
hej,hi
fri,free
fram,forth
side,page
syns,visible
skje,happen
resten,the rest
egentlig,actually
familie,family
navnet,the name
tom,empty
finnes,exists
hater,hate
bror,brother
sette,set
kjører,driving
utenfor,outside
tv,tv
forsiktig,careful
måske,perhaps
enda,yet
hvert,each
imot,against
mest,most
gal,crazy
mulig,possible
lar,thigh
kaller,calls
mit,mine
satt,sat
sam,together
tusen,thousand
bruker,User
kjøre,drive
time,hour
straks,soon
mere,more
rommet,the room
mindre,less
mrs,Mrs
skjedd,happened
unge,young
selvsagt,of course
spørre,ask
øynene,the eyes
uke,week
lidt,a little
plass,place
løp,run
gangen,the hallway
vann,water
aldrig,never
skolen,the school
foran,in front of
kona,the wife
nogen,somebody
ønske,desire
driver,driver
nødt,need
sjanse,chance
snakk,talk
vis,show
lite,little
siger,says
ind,ind
altså,therefore
vondt,hurt
lære,learn
gift,married
passer,fits
landet,the country
høres,is heard
nummer,number
herrer,gentlemen
lyst,want
kvinner,women
lover,promises
michael,michael
rom,room
an,an
damer,ladies
harry,harry
begynte,began
været,the weather
dum,dumb
ekte,genuine
dritt,crap
idé,idea
huske,remember
idiot,idiot
fins,exists
ringte,called
måneder,months
aner,ancestor
hendene,the hands
lykke,happiness
perfekt,perfect
lov,law
historie,history
våpen,arms
lngen,No one
svært,very
bryr,care
kjent,known
betale,pay
vores,ours
jobbet,worked
svar,answer
lage,make
stoppe,stop
ventet,waited
sove,sleep
sådan,like that
mente,meant
gitt,granted
the,the
små,small
venstre,left
slår,hits
farvel,goodbye
igen,again
vii,vii
na,now
mand,man
charlie,Charlie
tale,speech
blod,blood
rart,strange
fortsett,continue
ma,Ma
hjelper,helps
tager,takes
sender,sends
land,country
laget,made
herre,master
hent,picked up
hånd,hand
viser,shows
spiser,eats
sannheten,the truth
finn,find
kjør,drive
ben,legs
handler,acts
undskyld,sorry
fortalt,told
reise,travel
york,york
valg,choice
tidlig,early
jer,you guys
bruk,use
stund,while
blev,became
skai,skai
skrive,write
tide,time
morsomt,funny
datter,daughter
skyte,shoot
kort,card
husk,remember
jobbe,work
skyt,shoot
frank,Frank
stadig,ever
vennen,the friend
foregår,takes place
doktor,doctor
uker,weeks
kjøpe,purchase
live,live
middag,dinner
lager,storage
henter,retrieving
millioner,millions
legge,lay
broren,the brother
kaffe,coffee
synd,sin
sitte,sit
forstå,understand
barna,the children
telefonen,the phone
masse,a lot
george,george
kjærlighet,love
by,city
peter,Peter
sendte,sent
kjente,knew
verre,worse
følge,follow
rør,tube
begynne,begin
slo,beat
skynd,hurry up
sønnen,the son
tage,take
tjeneste,service
jøss,geez
vakker,beautiful
sige,say
ung,young
væk,away
likte,liked
døren,the door
gifte,marry
sende,send
hardt,hard
skikkelig,properly
frem,forth
skyter,shoots
sex,sex
skutt,shot
laver,leaves
nær,near
syk,sick
stikker,sticks
ille,bad
gjelder,applies
betaler,Pays
sekunder,seconds
bord,table
elsket,loved
farlig,dangerous
høyre,right
problemet,the problem
klarte,was able to
forteller,says
